Competidor,Fecha,Producto1,Tipo
Competidor1,05/09/21,1961880,Hist—rico
Competidor1,12/09/21,2067022.1,Hist—rico
Competidor1,19/09/21,2440135,Hist—rico
Competidor1,26/09/21,1906501,Hist—rico
Competidor1,10/10/21,1976222.2,Hist—rico
Competidor1,17/10/21,1995880,Hist—rico
Competidor1,24/10/21,2043958.2,Hist—rico
Competidor1,31/10/21,1968132.1,Hist—rico
Competidor1,07/11/21,2259683,Hist—rico
Competidor1,14/11/21,1961990,Hist—rico
Competidor1,21/11/21,2106292,Hist—rico
Competidor1,28/11/21,1607038,Hist—rico
Competidor1,02/12/21,1657209,Hist—rico
Competidor1,05/12/21,1785639,Hist—rico
Competidor1,12/12/21,1767723,Hist—rico
Competidor1,19/12/21,2104243,Hist—rico
Competidor1,26/12/21,1630316,Hist—rico
Competidor1,09/01/22,1968826,Hist—rico
Competidor1,16/01/22,1842275,Hist—rico
Competidor1,23/01/22,1572706,Hist—rico
Competidor1,30/01/22,1579806,Hist—rico
Competidor1,06/02/22,1642545,Hist—rico
Competidor1,13/02/22,1722727,Hist—rico
Competidor1,20/02/22,2273485,Hist—rico
Competidor1,27/02/22,1752093,Hist—rico
Competidor1,03/03/22,1711662,Hist—rico
Competidor1,06/03/22,2211879,Hist—rico
Competidor1,13/03/22,1749475,Hist—rico
Competidor1,20/03/22,2051238,Hist—rico
Competidor1,27/03/22,1637610,Hist—rico
Competidor1,01/04/22,1710449,Hist—rico
Competidor1,10/04/22,1750463,Hist—rico
Competidor1,17/04/22,1780374,Hist—rico
Competidor1,24/04/22,1889885,Hist—rico
Competidor1,08/05/22,1798562,Hist—rico
Competidor10,06/01/19,44597501.5,Hist—rico
Competidor10,13/01/19,48565940.46,Hist—rico
Competidor10,20/01/19,45632300.1,Hist—rico
Competidor10,27/01/19,46030940.92,Hist—rico
Competidor10,03/02/19,44893729.42,Hist—rico
Competidor10,10/02/19,51044268.98,Hist—rico
Competidor10,17/02/19,45234191.6,Hist—rico
Competidor10,24/02/19,48356307.46,Hist—rico
Competidor10,03/03/19,45039309,Hist—rico
Competidor10,10/03/19,50653821,Hist—rico
Competidor10,17/03/19,46872108.29,Hist—rico
Competidor10,24/03/19,49266009.66,Hist—rico
Competidor10,31/03/19,46265132.46,Hist—rico
Competidor10,07/04/19,50733548,Hist—rico
Competidor10,14/04/19,49202541.54,Hist—rico
Competidor10,21/04/19,51293031,Hist—rico
Competidor10,28/04/19,49301217,Hist—rico
Competidor10,05/05/19,52809678,Hist—rico
Competidor10,12/05/19,51913772.04,Hist—rico
Competidor10,19/05/19,53915752.38,Hist—rico
Competidor10,26/05/19,53422943.96,Hist—rico
Competidor10,02/06/19,52717410,Hist—rico
Competidor10,09/06/19,53887869.92,Hist—rico
Competidor10,16/06/19,54287286.58,Hist—rico
Competidor10,23/06/19,51713555.42,Hist—rico
Competidor10,30/06/19,55114157,Hist—rico
Competidor10,07/07/19,55205146.2,Hist—rico
Competidor10,14/07/19,52573484.04,Hist—rico
Competidor10,21/07/19,51701982.5,Hist—rico
Competidor10,28/07/19,54426856.96,Hist—rico
Competidor10,04/08/19,51550146.25,Hist—rico
Competidor10,11/08/19,55390284.75,Hist—rico
Competidor10,18/08/19,51641337.46,Hist—rico
Competidor10,25/08/19,53487628.46,Hist—rico
Competidor10,01/09/19,52003190.5,Hist—rico
Competidor10,08/09/19,53283029.46,Hist—rico
Competidor10,15/09/19,51333477.46,Hist—rico
Competidor10,22/09/19,53115037.88,Hist—rico
Competidor10,29/09/19,49530369.5,Hist—rico
Competidor10,06/10/19,51955504.86,Hist—rico
Competidor10,13/10/19,50646565.42,Hist—rico
Competidor10,20/10/19,51713709.92,Hist—rico
Competidor10,27/10/19,47381704.46,Hist—rico
Competidor10,03/11/19,49126513.46,Hist—rico
Competidor10,10/11/19,48648038.88,Hist—rico
Competidor10,17/11/19,49569867.96,Hist—rico
Competidor10,24/11/19,46414104.46,Hist—rico
Competidor10,01/12/19,46761653.46,Hist—rico
Competidor10,08/12/19,47571117.88,Hist—rico
Competidor10,15/12/19,48254048.04,Hist—rico
Competidor10,22/12/19,47709906.42,Hist—rico
Competidor10,29/12/19,45188933.46,Hist—rico
Competidor10,05/01/20,44076613.96,Hist—rico
Competidor10,12/01/20,48047478.5,Hist—rico
Competidor10,19/01/20,44719325.96,Hist—rico
Competidor10,26/01/20,45550300.5,Hist—rico
Competidor10,02/02/20,43099834.46,Hist—rico
Competidor10,09/02/20,48258526.42,Hist—rico
Competidor10,16/02/20,45405305.68,Hist—rico
Competidor10,23/02/20,46473004.4,Hist—rico
Competidor10,01/03/20,44025323.04,Hist—rico
Competidor10,08/03/20,49348477.94,Hist—rico
Competidor10,15/03/20,46516642.96,Hist—rico
Competidor10,22/03/20,57020210.9,Hist—rico
Competidor10,29/03/20,50259789.86,Hist—rico
Competidor10,05/04/20,44877584.5,Hist—rico
Competidor10,12/04/20,45359396.46,Hist—rico
Competidor10,19/04/20,49276030.96,Hist—rico
Competidor10,26/04/20,46910735.08,Hist—rico
Competidor10,03/05/20,50106794.5,Hist—rico
Competidor10,10/05/20,51849176.9,Hist—rico
Competidor10,17/05/20,52727105.96,Hist—rico
Competidor10,24/05/20,52897272.5,Hist—rico
Competidor10,07/06/20,54565260,Hist—rico
Competidor10,14/06/20,57269818,Hist—rico
Competidor10,21/06/20,54462992.96,Hist—rico
Competidor10,28/06/20,55724412.18,Hist—rico
Competidor10,05/07/20,56657364.46,Hist—rico
Competidor10,12/07/20,55222596.5,Hist—rico
Competidor10,19/07/20,51357599,Hist—rico
Competidor10,26/07/20,53228025.88,Hist—rico
Competidor10,02/08/20,52639697,Hist—rico
Competidor10,09/08/20,56023884.96,Hist—rico
Competidor10,16/08/20,53432188.5,Hist—rico
Competidor10,23/08/20,54235301.96,Hist—rico
Competidor10,06/09/20,54969882,Hist—rico
Competidor10,13/09/20,51492340,Hist—rico
Competidor10,20/09/20,52441086.5,Hist—rico
Competidor10,27/09/20,49593088,Hist—rico
Competidor10,30/09/20,51397030,Hist—rico
Competidor10,04/10/20,51952103.46,Hist—rico
Competidor10,11/10/20,50115445.46,Hist—rico
Competidor10,18/10/20,51482501,Hist—rico
Competidor10,25/10/20,47557005.5,Hist—rico
Competidor10,01/11/20,49705056.5,Hist—rico
Competidor10,08/11/20,48931840.2,Hist—rico
Competidor10,15/11/20,51821256.5,Hist—rico
Competidor10,22/11/20,49507578,Hist—rico
Competidor10,06/12/20,46117551.7,Hist—rico
Competidor10,13/12/20,48474999,Hist—rico
Competidor10,20/12/20,47880588.96,Hist—rico
Competidor10,27/12/20,45845046.5,Hist—rico
Competidor10,29/12/20,46560120.96,Hist—rico
Competidor10,03/01/21,42639370.5,Hist—rico
Competidor10,10/01/21,47038291.5,Hist—rico
Competidor10,17/01/21,45531335.9,Hist—rico
Competidor10,24/01/21,45111362,Hist—rico
Competidor10,07/02/21,45321832.46,Hist—rico
Competidor10,14/02/21,45069593.96,Hist—rico
Competidor10,21/02/21,43971294,Hist—rico
Competidor10,28/02/21,43511549.46,Hist—rico
Competidor10,04/03/21,47768650,Hist—rico
Competidor10,07/03/21,46779424.25,Hist—rico
Competidor10,14/03/21,47573322.5,Hist—rico
Competidor10,21/03/21,47033842.25,Hist—rico
Competidor10,28/03/21,46336713,Hist—rico
Competidor10,02/04/21,46847466,Hist—rico
Competidor10,11/04/21,49955837.9,Hist—rico
Competidor10,18/04/21,50228161,Hist—rico
Competidor10,25/04/21,49505072,Hist—rico
Competidor10,09/05/21,50454043.5,Hist—rico
Competidor10,16/05/21,48505555,Hist—rico
Competidor10,23/05/21,49007101.6,Hist—rico
Competidor10,30/05/21,50729792.5,Hist—rico
Competidor10,04/06/21,51810012.1,Hist—rico
Competidor10,06/06/21,49596912.56,Hist—rico
Competidor10,13/06/21,50978866,Hist—rico
Competidor10,20/06/21,50000873.5,Hist—rico
Competidor10,27/06/21,49285484.5,Hist—rico
Competidor10,01/07/21,49443344.5,Hist—rico
Competidor10,11/07/21,50647886,Hist—rico
Competidor10,18/07/21,49642602,Hist—rico
Competidor10,25/07/21,50190189.36,Hist—rico
Competidor10,08/08/21,50914661.9,Hist—rico
Competidor10,15/08/21,50012209.38,Hist—rico
Competidor10,22/08/21,50560362.96,Hist—rico
Competidor10,29/08/21,48701631.5,Hist—rico
Competidor10,03/09/21,46828399.46,Hist—rico
Competidor10,05/09/21,50174151.3,Hist—rico
Competidor10,12/09/21,48008190.5,Hist—rico
Competidor10,19/09/21,48591833,Hist—rico
