,SistemaBancario,BBVA,Santander,banorte,banamex,HSBC,Credito_BBVA,Consumo_BBVA,Vivienda_BBVA,Credito_Santander,Consumo_Santander,Vivienda_Santander,Credito_banorte,Consumo_banorte,Vivienda_banorte,Credito_banamex,Consumo_banamex,Vivienda_banamex,Credito_HSBC,Consumo_HSBC,Vivienda_HSBC
2025-11-30,2322191.206934871,644803.8871357051,955102.7330466416,323424.45036995824,265187.051312346,133673.08507022014,205119.2844358407,207971.2742589006,231713.32844096379,173418.9777530351,455221.8498000626,326461.9054935438,211769.93447392966,17441.560293866216,94212.95560216237,88395.68377078157,88395.68377078196,88395.6837707825,44557.69502340678,44557.69502340702,44557.69502340635
2025-12-31,2337596.2833072427,645867.5941442534,962795.7314087555,325501.57266609697,268695.47618907614,134735.90889906095,205472.67602324873,208328.19796480262,232066.7201562021,175983.3104810664,457786.1826170608,329026.23831062834,215489.16164482274,16618.493596400935,93393.9174248733,89565.15872969157,89565.15872969202,89565.15872969257,44911.96963302038,44911.969633020635,44911.969633019944
2026-01-31,2352525.4331501173,647287.2789790442,970845.04056817,325677.93164644006,272560.1165281958,136155.06542826752,205945.19993694453,208802.8349437047,232539.24409839496,178666.4135205221,460469.28567703307,331709.3413706148,212521.01669325924,18191.98253687739,94964.93241630345,90853.37217606482,90853.37217606521,90853.37217606578,45385.021809422586,45385.02180942281,45385.02180942212
2026-02-28,2367934.95807801,648345.8579523306,978533.4343306506,327778.591285531,276063.7461541438,137213.32835535388,206297.63821108118,209156.53736236604,232891.68237888333,181229.2114381939,463032.0835994363,334272.1392930205,216248.04615620375,17378.037988208558,94152.5071411187,92021.2487180475,92021.2487180479,92021.24871804843,45737.77611845135,45737.77611845161,45737.77611845091
2026-03-31,2382868.180593633,649760.9244725324,986578.4208459223,327976.7562471168,279923.8732252101,138628.20580285162,206769.07495719884,209628.73038891697,233363.11912641654,183910.8736092235,465713.74577155715,336953.80146514176,213287.5359916803,18957.842050749638,95731.37820468681,93307.95774173626,93307.95774173665,93307.95774173722,46209.40193428394,46209.401934284186,46209.40193428349
2026-04-30,2398280.859607162,650815.7103930041,994263.180960444,330095.4110492752,283423.6785940857,139682.87861035316,207120.51944750524,209980.62732846048,233714.56361703848,186472.4603138963,468275.33247648156,339515.38817006623,217019.99963040947,18150.6511510991,94924.76026776661,94474.55953136145,94474.55953136181,94474.55953136242,46560.959536784445,46560.95953678469,46560.95953678401
2026-05-31,2413216.8811322753,652227.3317484317,1002304.8001935848,330310.06910897064,287280.24778583355,141094.4322954546,207590.96967241488,210451.3482339985,234185.01384201832,189153.00005823773,470955.8722208811,342195.92791446595,214065.67297373243,19735.31943996688,96509.07669527135,95760.08259527739,95760.08259527778,95760.08259527838,47031.477431818275,47031.47743181852,47031.477431817795
2026-06-30,2428631.664723262,653279.2421588222,1009986.713909375,332442.3902633204,290777.01617005427,142146.3022216902,207941.55249705684,210802.09299508945,234535.59666667602,191713.63796349234,473516.51012614893,344756.56581973383,217801.9316305121,18933.24264820039,95707.21598460796,96925.67205668433,96925.67205668469,96925.67205668527,47382.10074056346,47382.100740563714,47382.10074056299
2026-07-31,2443569.515183022,654688.2239735152,1018025.6935354201,332669.5826777074,294630.7551798927,143555.259816486,208411.18080877155,211271.81818634938,235005.22497839425,194393.2978388386,476196.17000149837,347436.2256950831,214852.58930281884,20521.57636787669,97295.4170070119,98210.25172663048,98210.25172663083,98210.25172663141,47851.75327216207,47851.75327216233,47851.75327216161
2026-08-31,2458985.5802098275,655737.922982558,1025705.3783277944,334812.23048669775,298125.1040769578,144604.94433581945,208761.06115884322,211621.7564952481,235355.10532846674,196953.19276962956,478756.06493228994,349996.12062587484,218591.45590363588,19723.42622669259,96497.34835636926,99375.0346923188,99375.03469231921,99375.03469231981,48201.648111939896,48201.64811194015,48201.648111939416
